class_code,schedule,instructor,year
Math 22 TWHFV3,"TWThF, 11:45AM-12:45PM","CORPUZ, RAIZA; SALINASAN, JENNY",AY2021B
Math 22 TWHFV4,"TWThF, 11:45AM-12:45PM","INAUDITO, JOSE MARIE; CAWIDING, OLIVE",AY2021B
Math 22 TWHFV5,"TWThF, 11:45AM-12:45PM","RAYMUNDO, GREGORIO",AY2021B
Math 22 TWHFV6,"TWThF, 11:45AM-12:45PM","GUADALUPE, RUSSELLE",AY2021B
Math 22 TWHFV7,"TWThF, 11:45AM-12:45PM","MARFIL, RAMON IÑIGO",AY2021B
Math 22 TWHFV8,"TWThF, 11:45AM-12:45PM","BAYSAULI, MICHAEL CHRISTIAN",AY2021B
Math 22 TWHFV9,"TWThF, 11:45AM-12:45PM","MESOZA, SETHRIC ANDRE",AY2021B
Math 22 TWHFW1,"TWThF, 1:15-2:15PM","NERI, MARRICK",AY2021B
Math 22 TWHFW2,"TWThF, 1:15-2:15PM","CONSORTE, ODESSA",AY2021B
Math 22 TWHFW3,"TWThF, 1:15-2:15PM","CAWIDING, OLIVE",AY2021B
Math 22 TWHFW4,"TWThF, 1:15-2:15PM","VERGARA, THOMAS HERALD",AY2021B
Math 22 TWHFW5,"TWThF, 1:15-2:15PM","MARFIL, RAMON IÑIGO",AY2021B
Math 22 TWHFW6,"TWThF, 1:15-2:15PM","MENDOZA, VICTORIA MAY; PANINGBATAN, ARIEL",AY2021B
Math 22 TWHFW7,"TWThF, 1:15-2:15PM","ENRIQUEZ, ERIKA ANTONETTE",AY2021B
Math 22 TWHFX1,"TWThF, 2:45-3:45PM","NERI, MARRICK",AY2021B
Math 22 TWHFX2,"TWThF, 2:45-3:45PM","JOVEN, JESUS PAOLO",AY2021B
Math 22 TWHFX3,"TWThF, 2:45-3:45PM","MENDOZA, VICTORIA MAY",AY2021B
Math 22 TWHFX4,"TWThF, 2:45-3:45PM","PANINGBATAN, ARIEL",AY2021B
Math 22 TWHFX5,"TWThF, 2:45-3:45PM","GALVEZ, LUCKY ERAP",AY2021B
Math 22 TWHFX6,"TWThF, 2:45-3:45PM","CAWIDING, OLIVE",AY2021B
Math 22 TWHFX7,"TWThF, 2:45-3:45PM","MANALOTO, KORINA ERNJULIE",AY2021B
Math 22 TWHFY1,"TWThF, 4:15-5:15PM","PANINGBATAN, ARIEL",AY2021B
Math 22 TWHFY2,"TWThF, 4:15-5:15PM","VERGARA, THOMAS HERALD",AY2021B
Math 22 TWHFY3,"TWThF, 4:15-5:15PM","MARFIL, RAMON IÑIGO",AY2021B
Math 22 TWHFY4,"TWThF, 4:15-5:15PM","CRUZ, ANJELO GABRIEL",AY2021B
Math 22 TWHFY5,"TWThF, 4:15-5:15PM","MANALOTO, KORINA ERNJULIE",AY2021B
Math 22 TWHFY6,"TWThF, 4:15-5:15PM","JOVEN, JESUS PAOLO",AY2021B
Math 23 TWHFQ1,"TWThF, 7:15-8:15AM","BARGO, MARIA CRISTINA",AY2021B
Math 23 TWHFR1,"TWThF, 8:45-9:45AM","BARGO, MARIA CRISTINA",AY2021B
Math 23 TWHFR2,"TWThF, 8:45-9:45AM","OROPEZA, ALIP",AY2021B
Math 23 TWHFU1,"TWThF, 10:15-11:15AM","OROPEZA, ALIP",AY2021B
Math 23 TWHFU2,"TWThF, 10:15-11:15AM","BOYDON, KAI BRYNNE",AY2021B
Math 23 TWHFV1,"TWThF, 11:45AM-12:45PM","FABRERO, JOHN LAWRENCE",AY2021B
Math 23 TWHFV2,"TWThF, 11:45AM-12:45PM","BARGO, MARIA CRISTINA; DE LARA, MARK LEXTER",AY2021B
Math 23 TWHFW1,"TWThF, 1:15-2:15PM","DE LARA, MARK LEXTER",AY2021B
Math 23 TWHFW2,"TWThF, 1:15-2:15PM","OROPEZA, ALIP",AY2021B
Math 23 TWHFX1,"TWThF, 2:45-3:45PM","VALLEJO, LOUIE JOHN",AY2021B
Math 23 TWHFX2,"TWThF, 2:45-3:45PM","VELASCO, ARRIANNE CRYSTAL",AY2021B
Math 23 TWHFY1,"TWThF, 4:15-5:15PM","CELESTE, RICHELL",AY2021B
Math 23 TWHFY2,"TWThF, 4:15-5:15PM","VALLEJO, LOUIE JOHN",AY2021B
Math 23 TWHFY3,"TWThF, 4:15-5:15PM","FABRERO, JOHN LAWRENCE",AY2021B
Math 40 THW,"TTh, 1-2:30PM","DIMABAYAO, JEROME",AY2021B
Math 40 THX,"TTh, 2:30-4PM","DIMABAYAO, JEROME",AY2021B
Math 40 WFW,"WF, 1-2:30PM","AGAPITO, JULIUS CAESAR",AY2021B
Math 40 WFX1,"WF, 2:30-4PM","BETTY, ROWENA ALMA",AY2021B
Math 40 WFX2,"WF, 2:30-4PM","DELA CRUZ, ROMAR",AY2021B
Math 40 WFY1,"WF, 4-5:30PM","AGAPITO, JULIUS CAESAR",AY2021B
Math 40 WFY2,"WF, 4-5:30PM","DELA CRUZ, ROMAR",AY2021B
Math 108 TWHFR,"TWThF, 8:45-9:45AM","DAMASCO, JOSEPH RAY CLARENCE",AY2021B
Math 108 TWHFU1,"TWThF, 10:15-11:15AM","DAMASCO, JOSEPH RAY CLARENCE",AY2021B
Math 108 TWHFU2,"TWThF, 10:15-11:15AM","AMARRA, MARIA CARMEN",AY2021B
Math 108 TWHFW,"TWThF, 1:15-2:15PM","AMARRA, MARIA CARMEN",AY2021B
Math 108 TWHFX,"TWThF, 2:45-3:45PM","AMARRA, MARIA CARMEN",AY2021B
Math 110.1 WFY,"WF, 4-5:30PM","GALVEZ, LUCKY ERAP",AY2021B
Math 110.2 THX,"TTh, 2:30-4PM","DELA CRUZ, ROMAR",AY2021B
Math 110.2 THY1,"TTh, 4-5:30PM","DELA CRUZ, ROMAR",AY2021B
Math 110.2 THY2,"TTh, 4-5:30PM","PARAS, AGNES CLOTILDE",AY2021B
Math 110.2 WFU,"WF, 10-11:30AM","BETTY, ROWENA ALMA",AY2021B
Math 110.3 WFY,"WF, 4-5:30PM","SANTOS, ROVIN",AY2021B
Math 117 THV,"TTh, 11:30AM-1PM","ARICHETA, VICTOR MANUEL",AY2021B
Math 117 THW,"TTh, 1-2:30PM","ARICHETA, VICTOR MANUEL",AY2021B
Math 117 WFV1,"WF, 11:30AM-1PM","GALVEZ, LUCKY ERAP",AY2021B
Math 117 WFV2,"WF, 11:30AM-1PM","ARICHETA, VICTOR MANUEL",AY2021B
Math 117 WFW,"WF, 1-2:30PM","GALVEZ, LUCKY ERAP",AY2021B
Math 122 THR,"TTh, 8:30-10AM","DE LOS REYES, AURELIO",AY2021B
Math 122 WFR,"WF, 8:30-10AM","AGAPITO, JULIUS CAESAR",AY2021B
Math 122 WFW,"WF, 1-2:30PM","CABARRUBIAS, BITUIN",AY2021B
Math 122 WFX,"WF, 2:30-4PM","AGAPITO, JULIUS CAESAR",AY2021B
Math 123.1 THU,"TTh, 10-11:30AM","VELASCO, GINO ANGELO",AY2021B
Math 123.1 THW,"TTh, 1-2:30PM","CABARRUBIAS, BITUIN",AY2021B
Math 123.1 THX,"TTh, 2:30-4PM","CABARRUBIAS, BITUIN",AY2021B
Math 123.1 WFX,"WF, 2:30-4PM","CABARRUBIAS, BITUIN",AY2021B
Math 128 THR,"TTh, 8:30-10AM","CANLUBO, CLARISSON RIZZIE",AY2021B
Math 128 THU,"TTh, 10-11:30AM","CANLUBO, CLARISSON RIZZIE",AY2021B
Math 128 THW,"TTh, 1-2:30PM","CANLUBO, CLARISSON RIZZIE",AY2021B
Math 133 THV,"TTh, 11:30AM-1PM","DAVID, FREDEGUSTO; MENDOZA, VICTORIA MAY; VERGARA, THOMAS HERALD",AY2021B
Math 142 THY,"TTh, 4-5:30PM","BASILLA, JULIUS",AY2021B
Math 146 THX,"TTh, 2:30-4PM","LEYSON, DENNIS",AY2021B
Math 150.2 THW,"TTh, 1-2:30PM","ESCANER, JOSE MARIA",AY2021B
Math 150.2 THX,"TTh, 2:30-4PM","ESCANER, JOSE MARIA",AY2021B
Math 150.2 WFY,"WF, 4-5:30PM","SANTOS, JASMIN-MAE",AY2021B
Math 158 WFW,"WF, 1-2:30PM","DAMASCO, JOSEPH RAY CLARENCE",AY2021B
Math 162 SRU,"S, 8:30-11:30AM","SABANGAN, ALELIE",AY2021B
Math 162 SVWX,"S, 12-3PM","SABANGAN, ALELIE",AY2021B
Math 164 THU,"TTh, 10-11:30AM","ESCANER, JOSE MARIA",AY2021B
Math 171 WFR,"WF, 8:30-10AM","MOHAMMAD, RHUDAINA",AY2021B
Math 171 WFU,"WF, 10-11:30AM","VELASCO, ARRIANNE CRYSTAL",AY2021B
Math 171 WFV,"WF, 11:30AM-1PM","VELASCO, ARRIANNE CRYSTAL",AY2021B
Math 190 MUV,"M, 11AM-1PM","LOQUIAS, MANUEL JOSEPH",AY2021B
Math 197 WFVPhylogenetics,"WF, 11:30AM-1PM","PANINGBATAN, ARIEL",AY2021B
Math 202.2 THZ,"TTh, 5:30-7PM","ONA, MARK PHILIP",AY2021B
Math 203 SUV,"S, 10AM-1PM","VALDEZ, LILIBETH",AY2021B
Math 203 SWX,"S, 1-4PM","VALDEZ, LILIBETH",AY2021B
Math 204 SRUV,"S, 9AM-12PM","SANTOS, ROVIN",AY2021B
Math 204 SWX,"S, 1-4PM","SANTOS, ROVIN",AY2021B
Math 209.2 WFY,"WF, 4-5:30PM","BETTY, ROWENA ALMA",AY2021B
Math 210.1 THU,"TTh, 10-11:30AM","PARAS, AGNES CLOTILDE",AY2021B
Math 210.2 WFU,"WF, 10-11:30AM","LOQUIAS, MANUEL JOSEPH",AY2021B
Math 211 THV,"TTh, 11:30AM-1PM","DE LA CRUZ, RALPH JOHN",AY2021B
Math 214 THW,"TTh, 1-2:30PM","PARAS, AGNES CLOTILDE",AY2021B
Math 218 WFY,"WF, 4-5:30PM","BASILLA, JULIUS",AY2021B
Math 220.2 SXY,"S, 2:30-5:30PM","SY, POLLY",AY2021B
Math 222 WFX,"WF, 2:30-4PM","VELASCO, GINO ANGELO",AY2021B
Math 227 WFW,"WF, 1-2:30PM","MOHAMMAD, RHUDAINA",AY2021B
Math 228 THX,"TTh, 2:30-4PM","CELESTE, RICHELL",AY2021B
Math 235 SWX,"S, 1-4PM","DE LOS REYES, AURELIO",AY2021B
Math 241 SRU,"S, 8:30-11:30AM","JUNIO, ALLAN",AY2021B
Math 242 THX,"TTh, 2:30-4PM","ROQUE, MARIAN",AY2021B
Math 243 THX,"TTh, 2:30-4PM","CANLUBO, CLARISSON RIZZIE",AY2021B
Math 250 THX,"TTh, 2:30-4PM","SADDI, DARYL ALLEN",AY2021B
Math 261 SQRU,"S, 8-11AM","DOLORES, PAUL ANGELO",AY2021B
Math 262.2 SQRU,"S, 8-11AM","ARADA, SABINA RACHEL",AY2021B
Math 265 SQRU,"S, 8-11AM","LIOK, ALEX",AY2021B
Math 271.2 SRUV,"S, 9AM-12PM","MENDOZA, RENIER",AY2021B
Math 281 SWX,"S, 1-4PM","MENDOZA, RENIER",AY2021B
Math 290 WFZ,"WF, 5:30-7PM","BETTY, ROWENA ALMA; CAALIM, JONATHAN; LOQUIAS, MANUEL JOSEPH; SANTOS, JASMIN-MAE; VALLEJO, LOUIE JOHN",AY2021B
Math 295 SWX,"S, 1-4PM","DAVID, FREDEGUSTO",AY2021B
Math 296 MY,"M, 4-5PM","SADDI, DARYL ALLEN",AY2021B
Math 296 SR,"S, 9-10AM","VALDEZ, LILIBETH",AY2021B
Math 297 SUVArtificial Neural Network,"S, 10AM-1PM","DAVID, FREDEGUSTO",AY2021B
Math 297 SWXSurvey on Areas of Actuarial Practice,"S, 1-4PM","SAMONTE, JOSEPH ANGELO",AY2021B
Math 297 SYZAdvanced Statistical Modeling and Predictive Analytics,"S, 4-7PM","SAMONTE, JOSEPH ANGELO",AY2021B
Math 297 WFZEuclidean Geometry  in Mathematics  Competitions,"WF, 5:30-7PM","BASILLA, JULIUS",AY2021B
Math 10 X3,", 11AM-12:15PM","SADDI, DARYL ALLEN",AY2021M
Math 10 X5,", 3-4:15PM","SADDI, DARYL ALLEN",AY2021M
Math 2 THR,"TTh, 8:30-10AM","ABARA, MA. NERISSA",AY2122A
Math 2 THU,"TTh, 10-11:30AM","ABARA, MA. NERISSA",AY2122A
Math 2 THX,"TTh, 2:30-4PM","AGUILAR, ADJANI",AY2122A
Math 2 WFU,"WF, 10-11:30AM","CONSORTE, ODESSA",AY2122A
Math 2 WFU-1,"WF, 10-11:30AM","AGUILAR, ADJANI",AY2122A
Math 2 WFW,"WF, 1-2:30PM","LUY, JASMIN-MAE",AY2122A
Math 2 WFW-1,"WF, 1-2:30PM","CONSORTE, ODESSA",AY2122A
Math 2 WFX,"WF, 2:30-4PM","LUY, JASMIN-MAE",AY2122A
Math 10 THU,"TTh, 10-11:30AM","ARCEO, CARLENE PERPETUA",AY2122A
Math 10 THV,"TTh, 11:30AM-1PM","CAALIM, JONATHAN",AY2122A
Math 10 THW,"TTh, 1-2:30PM","CAALIM, JONATHAN",AY2122A
Math 10 THX,"TTh, 2:30-4PM","PIMENTEL, JOHNATAN",AY2122A
Math 10 THY,"TTh, 4-5:30PM","ROQUE, MARIAN",AY2122A
Math 10 THY-1,"TTh, 4-5:30PM","PIMENTEL, JOHNATAN",AY2122A
Math 10 WFU,"WF, 10-11:30AM","BALMACEDA, JOSE MARIA",AY2122A
Math 10 WFV,"WF, 11:30AM-1PM","SADDI, DARYL ALLEN",AY2122A
Math 10 WFW,"WF, 1-2:30PM","SADDI, DARYL ALLEN",AY2122A
Math 10 WFW-1,"WF, 1-2:30PM","BOYDON, KAI BRYNNE",AY2122A
Math 10 WFW-2,"WF, 1-2:30PM","ARCEO, CARLENE PERPETUA",AY2122A
Math 10 WFX,"WF, 2:30-4PM","BOYDON, KAI BRYNNE",AY2122A
Math 201 SRU,"S, 8:30-11:30AM","SANTOS, ROVIN",AY2122A
Math 201 SWX,"S, 1-4PM","SANTOS, ROVIN",AY2122A
Math 202.1 WFZ,"WF, 5:30-7PM","LOPE, JOSE ERNIE; ONA, MARK PHILIP",AY2122A
Math 203 SQR,"S, 7-10AM","VALDEZ, LILIBETH",AY2122A
Math 205 WFY,"WF, 4-5:30PM","SANTOS, JASMIN-MAE",AY2122A
Math 208 SUV,"S, 10AM-1PM","BALMACEDA, JOSE MARIA",AY2122A
Math 210.1 THU,"TTh, 10-11:30AM","PARAS, AGNES CLOTILDE",AY2122A
Math 211 THW,"TTh, 1-2:30PM","PARAS, AGNES CLOTILDE",AY2122A
Math 211 THY,"TTh, 4-5:30PM","PARAS, AGNES CLOTILDE",AY2122A
Math 220.1 SXY,"S, 2:30-5:30PM","SY, POLLY",AY2122A
Math 220.1 WFW,"WF, 1-2:30PM","AGAPITO, JULIUS CAESAR",AY2122A
Math 221 WFY,"WF, 4-5:30PM","OROPEZA, ALIP; ROQUE, MARIAN",AY2122A
Math 228 THX,"TTh, 2:30-4PM","CELESTE, RICHELL",AY2122A
Math 229 WFW,"WF, 1-2:30PM","VELASCO, GINO ANGELO",AY2122A
Math 240 SRU,"S, 8:30-11:30AM","JUNIO, ALLAN",AY2122A
Math 242 WFX,"WF, 2:30-4PM","BASILLA, JULIUS",AY2122A
Math 246 THX,"TTh, 2:30-4PM","BOYDON, KAI BRYNNE",AY2122A
Math 250 SRU,"S, 8:30-11:30AM","LIOK, ALEX",AY2122A
Math 262.1 SRU,"S, 8:30-11:30AM","ARADA, SABINA RACHEL",AY2122A
Math 265 SWX,"S, 1-4PM","LIOK, ALEX",AY2122A
Math 271.1 WFY,"WF, 4-5:30PM","MOHAMMAD, RHUDAINA",AY2122A
Math 290 MYZ,"M, 4-7PM","BETTY, ROWENA ALMA; BALMACEDA, JOSE MARIA; CAALIM, JONATHAN; ESCANER, JOSE MARIA; SANTOS, ROVIN; LUY, JASMIN-MAE; VALLEJO, LOUIE JOHN; ONA, MARK PHILIP; ARIAS, JEANINE CONCEPCION",AY2122A
Math 294 THZ,"TTh, 5:30-7PM","BALMACEDA, JOSE MARIA; NERI, MARRICK; ARCEO, CARLENE PERPETUA; LUY, JASMIN-MAE; MOHAMMAD, RHUDAINA",AY2122A
Math 296 SU1,"S, 10-11AM","LUY, JASMIN-MAE",AY2122A
Math 296 SU1-1,"S, 10-11AM","BALMACEDA, JOSE MARIA",AY2122A
Math 297 SWXActuarial Models,"S, 1-4PM","SAMONTE, JOSEPH ANGELO",AY2122A
Math 297 SYZStatistical Modeling and Data Analysis,"S, 4-7PM","SAMONTE, JOSEPH ANGELO",AY2122A
Math 2 THR,"TTh, 8:30-10AM","ABARA, MA. NERISSA",AY2122B
Math 2 THU,"TTh, 10-11:30AM","ABARA, MA. NERISSA",AY2122B
Math 2 WFU,"WF, 10-11:30AM","AGUILAR, ADJANI",AY2122B
Math 2 WFX,"WF, 2:30-4PM","CONSORTE, ODESSA",AY2122B
Math 2 WFX-1,"WF, 2:30-4PM","LUY, JASMIN-MAE",AY2122B
Math 2 WFY,"WF, 4-5:30PM","LUY, JASMIN-MAE",AY2122B
Math 10 THU,"TTh, 10-11:30AM","ARCEO, CARLENE PERPETUA",AY2122B
Math 10 THV,"TTh, 11:30AM-1PM","CAALIM, JONATHAN",AY2122B
Math 10 THV-1,"TTh, 11:30AM-1PM","BOYDON, KAI BRYNNE",AY2122B
Math 10 THW,"TTh, 1-2:30PM","ARCEO, CARLENE PERPETUA",AY2122B
Math 10 THX,"TTh, 2:30-4PM","BOYDON, KAI BRYNNE",AY2122B
Math 10 THY,"TTh, 4-5:30PM","ROQUE, MARIAN",AY2122B
Math 10 WFU,"WF, 10-11:30AM","BALMACEDA, JOSE MARIA",AY2122B
Math 10 WFV,"WF, 11:30AM-1PM","SADDI, DARYL ALLEN",AY2122B
Math 10 WFW,"WF, 1-2:30PM","PIMENTEL, JOHNATAN",AY2122B
Math 10 WFX,"WF, 2:30-4PM","NERI, MARRICK",AY2122B
Math 10 WFY,"WF, 4-5:30PM","PIMENTEL, JOHNATAN",AY2122B
Math 11 THU,"TTh, 10-11:30AM","LAGOTA, KELVIN",AY2122B
Math 14 WFU,"WF, 10-11:30AM","LAGOTA, KELVIN",AY2122B
Math 20 TWHFR,"TWThF, 8:45-9:45AM","VALDEZ, LILIBETH",AY2122B
Math 20 TWHFW,"TWThF, 1:15-2:15PM","VALDEZ, LILIBETH",AY2122B
Math 20 TWHFX,"TWThF, 2:45-3:45PM","SAMBAYAN, RACHELLE",AY2122B
Math 197 THUGame Theory,"TTh, 10-11:30AM","DAVID, FREDEGUSTO",AY2122B
Math 197 WFURisk Theory,"WF, 10-11:30AM","ESCANER, JOSE MARIA",AY2122B
Math 202.2 WFZ,"WF, 5:30-7PM","LOPE, JOSE ERNIE; ONA, MARK PHILIP",AY2122B
Math 203 SQR,"S, 7-10AM","VALDEZ, LILIBETH",AY2122B
Math 204 WFY,"WF, 4-5:30PM","SANTOS, ROVIN",AY2122B
Math 209.2 WFY,"WF, 4-5:30PM","BETTY, ROWENA ALMA",AY2122B
Math 210.1 THU,"TTh, 10-11:30AM","PARAS, AGNES CLOTILDE",AY2122B
Math 210.2 THU,"TTh, 10-11:30AM","LOQUIAS, MANUEL JOSEPH",AY2122B
Math 211 THW,"TTh, 1-2:30PM","PARAS, AGNES CLOTILDE",AY2122B
Math 214 THY,"TTh, 4-5:30PM","PARAS, AGNES CLOTILDE",AY2122B
Math 216 WFX,"WF, 2:30-4PM","BOYDON, KAI BRYNNE",AY2122B
Math 220.2 SXY,"S, 2:30-5:30PM","SY, POLLY",AY2122B
Math 222 WFW,"WF, 1-2:30PM","VELASCO, GINO ANGELO",AY2122B
Math 235 SUV,"S, 10AM-1PM","DAVID, FREDEGUSTO",AY2122B
Math 241 SRU,"S, 8:30-11:30AM","JUNIO, ALLAN",AY2122B
Math 242 WFX,"WF, 2:30-4PM","ROQUE, MARIAN",AY2122B
Math 243 THX,"TTh, 2:30-4PM","BASILLA, JULIUS",AY2122B
Math 247 THW,"TTh, 1-2:30PM","BASILLA, JULIUS",AY2122B
Math 262.2 SRU,"S, 8:30-11:30AM","ARADA, SABINA RACHEL",AY2122B
Math 265 SRU,"S, 8:30-11:30AM","LIOK, ALEX",AY2122B
Math 271.1 WFY,"WF, 4-5:30PM","SAMBAYAN, RACHELLE",AY2122B
Math 281 THX,"TTh, 2:30-4PM","RAYCO, MARIA BRENDA",AY2122B
Math 290 MYZ,"M, 4-7PM","PANINGBATAN, ARIEL; BOYDON, KAI BRYNNE",AY2122B
Math 296 SU1,"S, 10-11AM","BALMACEDA, JOSE MARIA",AY2122B
Math 297 SWXAdvanced Statistical Modeling and Predictive Analytics,"S, 1-4PM","SAMONTE, JOSEPH ANGELO",AY2122B
Math 297 SYZMathematics of Investment and Finance,"S, 4-7PM","SAMONTE, JOSEPH ANGELO",AY2122B
Math 2 X2,", 9-10:15AM","VERGARA, THOMAS HERALD",AY2122M
Math 10 X3,", 11AM-12:15PM","PIMENTEL, JOHNATAN",AY2122M
Math 20 X10,", 2:45-4:30PM","CEJO, ROBERT JAY",AY2122M
Math 20 X7,", 7-8:45AM","JAMILLA, CRISTETA",AY2122M
Math 20 X8,", 9:35-11:20AM","SABANGAN, ALELIE",AY2122M
Math 20 X9,", 12:10-1:55PM","CEJO, ROBERT JAY",AY2122M
Math 20 X9-1,", 12:10-1:55PM","SABANGAN, ALELIE",AY2122M
Math 21 X10,", 2:45-4:30PM","TAÑEDO, RAYMOND LOUIS",AY2122M
Math 21 X10-1,", 2:45-4:30PM","SANTOS, ROVIN",AY2122M
Math 21 X7,", 7-8:45AM","DOMINGO, KAE MARK",AY2122M
Math 21 X7-1,", 7-8:45AM","PINO, RODNEY",AY2122M
Math 21 X8,", 9:35-11:20AM","MALONZO, JERIELLE",AY2122M
Math 21 X8-1,", 9:35-11:20AM","STA. ANA, JOMAR KEVIN",AY2122M
Math 21 X8-2,", 9:35-11:20AM","PINO, RODNEY",AY2122M
Math 21 X9,", 12:10-1:55PM","IMPROSO, HANNA RHAE LYSSA",AY2122M
Math 21 X9-1,", 12:10-1:55PM","NOLLEN, NATHANIEL",AY2122M
Math 22 X10,", 2:45-4:30PM","CAGUBCOB, JEFFER DAVE",AY2122M
Math 22 X7-1,", 7-8:45AM","RAYA, KARLA MACHEL",AY2122M
Math 22 X7-2,", 7-8:45AM","RAYA, KARLA MACHEL; AVILA, JAKE",AY2122M
Math 22 X8,", 9:35-11:20AM","PELAYO, PRINCE ALLAN",AY2122M
Math 22 X8-1,", 9:35-11:20AM","ENRIQUEZ, ERIKA ANTONETTE",AY2122M
Math 22 X9,", 12:10-1:55PM","MUNAR, VINCENT PAUL",AY2122M
Math 22 X9-1,", 12:10-1:55PM","PELAYO, PRINCE ALLAN",AY2122M
Math 22 X9-2,", 12:10-1:55PM","STA. BRIGIDA, MICHAEL",AY2122M
Math 23 X10,", 2:45-4:30PM","RAMOS, AARON",AY2122M
Math 23 X10-1,", 2:45-4:30PM","DACAYMAT, JOHN MEL",AY2122M
Math 23 X10-2,", 2:45-4:30PM","SADDI, DARYL ALLEN",AY2122M
Math 23 X7,", 7-8:45AM","DONATO, JUDY ANN",AY2122M
Math 23 X7-1,", 7-8:45AM","SALINASAN, JENNY",AY2122M
Math 23 X8,", 9:35-11:20AM","SOLON, ULYSES",AY2122M
Math 23 X8-1,", 9:35-11:20AM","DONATO, JUDY ANN",AY2122M
Math 23 X8-2,", 9:35-11:20AM","SALINASAN, JENNY",AY2122M
Math 23 X9,", 12:10-1:55PM","DE LARA, MARK LEXTER",AY2122M
Math 23 X9-1,", 12:10-1:55PM","SADDI, DARYL ALLEN",AY2122M
Math 23 X9-2,", 12:10-1:55PM","DACAYMAT, JOHN MEL",AY2122M
Math 40 X4,", 1-2:15PM","SONGSONG, DIANA",AY2122M
Math 40 X5,", 3-4:15PM","SONGSONG, DIANA",AY2122M
Math 40 X6,", 5-6:15PM","SONGSONG, DIANA",AY2122M
Math 2 SQR,"S, 7-10AM","SAMONTE, JOSEPH ANGELO",AY2223A
Math 2 SUV,"S, 10AM-1PM","SAMONTE, JOSEPH ANGELO",AY2223A
Math 2 THR,"TTh, 8:30-10AM","ABARA, MA. NERISSA",AY2223A
Math 2 THU,"TTh, 10-11:30AM","ABARA, MA. NERISSA",AY2223A
Math 2 THU-1,"TTh, 10-11:30AM","VERGARA, THOMAS HERALD",AY2223A
Math 2 THW,"TTh, 1-2:30PM","VERGARA, THOMAS HERALD",AY2223A
Math 2 WFR,"WF, 8:30-10AM","CONSORTE, ODESSA",AY2223A
Math 2 WFU,"WF, 10-11:30AM","AGUILAR, ADJANI",AY2223A
Math 2 WFW,"WF, 1-2:30PM","LUY, JASMIN-MAE",AY2223A
Math 2 WFX,"WF, 2:30-4PM","LUY, JASMIN-MAE",AY2223A
Math 10 THR,"TTh, 8:30-10AM","BOYDON, KAI BRYNNE",AY2223A
Math 10 THU,"TTh, 10-11:30AM","ARCEO, CARLENE PERPETUA",AY2223A
Math 10 THU-1,"TTh, 10-11:30AM","BOYDON, KAI BRYNNE",AY2223A
Math 10 THW,"TTh, 1-2:30PM","ARCEO, CARLENE PERPETUA",AY2223A
Math 10 THW-1,"TTh, 1-2:30PM","CAALIM, JONATHAN",AY2223A
Math 10 THX,"TTh, 2:30-4PM","ROQUE, MARIAN",AY2223A
Math 10 THY,"TTh, 4-5:30PM","ROQUE, MARIAN",AY2223A
Math 10 WFU,"WF, 10-11:30AM","BALMACEDA, JOSE MARIA",AY2223A
Math 10 WFU-1,"WF, 10-11:30AM","PIMENTEL, JOHNATAN",AY2223A
Math 10 WFW,"WF, 1-2:30PM","PIMENTEL, JOHNATAN",AY2223A
Math 10 WFW-1,"WF, 1-2:30PM","SADDI, DARYL ALLEN",AY2223A
Math 10 WFY,"WF, 4-5:30PM","PIMENTEL, JOHNATAN",AY2223A
Math 20 TWHFR,"TWThF, 8:45-9:45AM","MATH, MATH; SANTOS, ROVIN",AY2223A
Math 20 TWHFR-1,"TWThF, 8:45-9:45AM","MATH, MATH; SANTOS, ROVIN; CORUM, KYRHO",AY2223A
Math 20 TWHFU-1,"TWThF, 10:15-11:15AM","VALDEZ, LILIBETH",AY2223A
Math 20 TWHFV-1,"TWThF, 11:45AM-12:45PM","DIAZ, LAUREEN",AY2223A
Math 20 TWHFX-1,"TWThF, 2:45-3:45PM","TANDINGAN, CHRISTIAN MATTHEW",AY2223A
Math 23 TWHFV-5,"TWThF, 11:45AM-12:45PM","LAGOTA, KELVIN",AY2223A
Math 197 THYIntroduction to the Theory of Error Correcting Codes,"TTh, 4-5:30PM","GALVEZ, LUCKY ERAP",AY2223A
Math 197 WFWSelected Topics in Complex Analysis,"WF, 1-2:30PM","PEREZ, ROLANDO",AY2223A
Math 201 WFY,"WF, 4-5:30PM","SANTOS, ROVIN",AY2223A
Math 202.1 WFZ,"WF, 5:30-7PM","LOPE, JOSE ERNIE; ONA, MARK PHILIP",AY2223A
Math 203 SQR,"S, 7-10AM","VALDEZ, LILIBETH",AY2223A
Math 203 SUV,"S, 10AM-1PM","VALDEZ, LILIBETH",AY2223A
Math 205 SWX,"S, 1-4PM","LUY, JASMIN-MAE",AY2223A
Math 208 SUV,"S, 10AM-1PM","BALMACEDA, JOSE MARIA",AY2223A
Math 209.1 WFZ,"WF, 5:30-7PM","VALLEJO, LOUIE JOHN",AY2223A
Math 210.1 THU,"TTh, 10-11:30AM","PARAS, AGNES CLOTILDE",AY2223A
Math 211 THY,"TTh, 4-5:30PM","PARAS, AGNES CLOTILDE",AY2223A
Math 220.1 SXY,"S, 2:30-5:30PM","SY, POLLY",AY2223A
Math 220.1 WFX,"WF, 2:30-4PM","VELASCO, GINO ANGELO",AY2223A
Math 221 WFY,"WF, 4-5:30PM","OROPEZA, ALIP; ROQUE, MARIAN",AY2223A
